,CustomerId,Exited,Age,CreditScore,Balance,NumOfProducts,EstimatedSalary,Tenure,Exited_predict,Unnamed: 0,RowNumber,Gender,HasCrCard,IsActiveMember,Geography,Surname
0,15634602,1,42,619,0,1,"101348,88",2,0,0,1,Female,1,1,Texas,Hargrave
1,15647311,0,41,608,"83807,86",1,"112542,58",1,0,1,2,Female,0,1,California,Hill
2,15619304,1,42,502,"159660,8",3,"113931,57",8,1,2,3,Female,1,0,Texas,Onio
3,15701354,0,39,699,0,2,"93826,63",1,0,3,4,Female,0,0,Texas,Boni
4,15737888,0,43,850,"125510,82",1,"79084,1",2,0,4,5,Female,1,1,California,Mitchell
5,15574012,0,44,645,"113755,78",2,"149756,71",8,0,5,6,Male,1,0,California,Chu
6,15592531,0,50,822,0,2,"10062,8",7,0,6,7,Male,1,1,Texas,Bartlett
7,15656148,1,29,376,"115046,74",4,"119346,88",4,1,7,8,Female,1,0,Alabama,Obinna
8,15792365,0,37,501,"142051,07",2,"74940,5",4,0,8,9,Male,0,1,Texas,He
9,15592389,0,37,684,"134603,88",1,"71725,73",2,0,9,10,Male,1,1,Texas,H?
10,15767821,0,31,528,"102016,72",2,"80181,12",6,0,10,11,Male,0,0,Texas,Bearce
11,15737173,0,24,497,0,2,"76390,01",3,0,11,12,Male,1,0,California,Andrews
12,15632264,0,34,476,0,2,"26260,98",100,0,12,13,Female,1,0,Texas,Kay
13,15691483,0,25,549,0,2,"190857,79",5,0,13,14,Female,0,0,Texas,Chin
14,15600882,0,35,635,0,2,"65951,65",7,0,14,15,Female,1,1,California,Scott
15,15643966,0,45,616,"143129,41",2,"64327,26",3,0,15,16,Male,0,1,Alabama,Goforth
16,15737452,1,37,653,"132602,88",1,"5097,67",1,0,16,17,Male,1,0,Alabama,Romeo
17,15788218,0,24,549,0,2,100608435,9,0,17,18,Female,1,1,California,
18,15661507,0,45,587,0,1,"158684,81",6,0,18,19,Male,0,0,California,Muldrow
19,15568982,0,37,726,0,2,"54724,03",6,0,19,20,Female,1,1,Texas,Hao
20,15577657,0,41,732,0,2,"170886,17",8,0,20,21,Male,1,1,Texas,McDonald
21,15597945,0,32,636,0,2,"138555,46",8,0,21,22,Female,1,0,California,Dellucci
22,15699309,0,38,510,0,1,"118913,53",4,0,22,23,Female,1,0,California,Gerasimov
23,15725737,0,46,669,0,2,"8487,75",3,0,23,24,Male,0,1,Texas,Mosman
24,15625047,0,38,846,0,1,"187616,16",5,0,24,25,Female,1,1,Texas,Yen
25,15738191,0,25,577,0,2,"124508,29",3,0,25,26,Male,0,1,Texas,Maclean
26,15736816,0,36,756,"136815,64",1,"170041,95",2,0,26,27,Male,1,1,Alabama,Young
